car_model,price,year_model,kms
Ford Fiesta 1.6 Sportback Automática,$29.900.000,2011,60.000
Ford Fiesta 1.6 Titanium At,$48.900.000,2016,13.000
Ford Fiesta 1.6 Sportback Se Mecánica,$35.500.000,2015,103.000
Ford Fiesta 1.6 Titanium At,$49.900.000,2018,64.500
Ford Fiesta 1.6 Sportback Se Automática,$32.900.000,2015,119.400
Ford Fiesta 1.6 Sportback Titanium,$54.000.000,2018,66.000
Ford Fiesta 1.6 Sportback Se Automática,$39.900.000,2015,103.000
Ford Fiesta 1.6 Sportback Automática,$29.990.000,2012,118.000
Ford Fiesta 1.6 Hatchback Titanium,$47.900.000,2017,68.000
Ford Fiesta 1.6 Sportback Mecánica,$33.500.000,2013,133.000
Ford Fiesta 1.6 Titanium At,$51.990.000,2018,90.000
Ford Fiesta 1.6 Titanium At,$39.500.000,2015,70.000
Ford Fiesta 1.6 Sportback Titanium,$50.900.000,2017,59.500
Ford Fiesta 1.6 Hatchback Titanium,$43.890.000,2016,91.921
Ford Fiesta 1.6 Titanium Ful Equipo Impecable,$37.400.000,2015,62.000
Ford Fiesta 1.6 Sportback Se Mecánica,$33.990.000,2014,90.000
Ford Fiesta 1.6 Hatchback Se,$37.900.000,2015,75.000
Ford Fiesta 1.6 Titanium At,$42.000.000,2016,92.000
Ford Fiesta Sedan Se 1.6 Mecanic,$43.000.000,2018,70.000
Ford Fiesta 1.6 Sportback Automática,$29.500.000,2011,104.000
Ford Fiesta 1.6 Hatchback Mecánica,$31.990.000,2012,135.000
Ford Fiesta 1.6 Sportback Titanium,$42.990.000,2017,97.800
Ford Fiesta 1.6 Sportback Automática,$33.900.000,2013,122.890
Ford Fiesta 1.6 Sportback Se Automática,$39.900.000,2014,75.300
Ford Fiesta 1.6 Sportback Titanium,$35.500.000,2015,88.500
Ford Fiesta 1.6 Titanium Mt,$46.900.000,2017,43.000
Ford Fiesta 1.6 Sportback Titanium,$49.000.000,2017,31.000
Ford Fiesta 1.6 Hatchback Titanium,$49.900.000,2017,89.000
Ford Fiesta Se 2013,$33.700.000,2013,187.472
Ford Fiesta 1.6 Sportback Se Automática,$38.500.000,2016,76.300
Ford Fiesta 1.6 Sportback Titanium,$44.000.000,2017,72.000
Ford Fiesta 1.6 Titanium At,$45.000.000,2017,86.000
Ford Fiesta Se Mecánico,$46.500.000,2018,56.000
Ford Fiesta 1.6 Sportback Se Automática,$38.990.000,2014,54.000
Ford Fiesta 1.6 Titanium At,$42.000.000,2017,117.000
Ford Fiesta 1.6 Sportback Automática,$29.900.000,2012,85.460
Ford Fiesta 1.6 Sportback Mecánica,$30.900.000,2012,119.700
Ford Fiesta 1.6 Sportback Se Mecánica,$38.000.000,2016,100.000
Ford Fiesta 1.6 Hatchback Mecánica,$32.900.000,2012,92.000
Ford Fiesta 1.6 Se Mecánico,$41.900.000,2018,75.000
Ford Fiesta 1.6 Hatchback Se,$47.900.000,2017,66.300
Ford Fiesta 1.6 Sportback Se Automática,$43.200.000,2016,62.500
Ford Fiesta 1.6 Hatchback Titanium,$48.900.000,2018,49.400
Ford Fiesta 1.6 Hatchback St,$69.800.000,2018,37.200
Ford Fiesta 1.6 Titanium At,$37.900.000,2015,107.000
Ford Fiesta 1.6 Hatchback Mecánica,$33.900.000,2013,129.900
Ford Fiesta 1.6 Sportback Se Automática,$35.000.000,2014,146.600
Ford Fiesta 1.6 Sportback Automática,$33.900.000,2013,107.900
Ford Fiesta 1.6 Titanium At,$35.800.000,2015,117.245
Ford Fiesta 1.6 Titanium At,$47.900.000,2017,41.000
Ford Fiesta 1.6 Sportback Se,$46.500.000,2017,81.500
Ford Fiesta 1.6 Sportback Se Mecánica,$31.900.000,2015,124.000
Ford Fiesta 1.6 Titanium At,$51.900.000,2018,52.466
Ford Fiesta 1.6 Sportback Se Mecánica,$38.500.000,2014,154.000
Ford Fiesta 1.6 Hatchback Titanium,$49.500.000,2018,63.700
Ford Fiesta 1.6 Titanium At,$37.000.000,2015,82.000
Ford Fiesta 1.6 Hatchback Mecánica,$28.900.000,2012,136.300
Ford Fiesta HATCHBACK ST MT 1600CC T,$72.990.000,2018,44.412
Ford Fiesta 1.6 Hatchback Titanium,$42.900.000,2015,52.700
Ford Fiesta 1.6 Titanium At,$54.000.000,2018,56.000
Ford Fiesta 1.6 Sportback Se Automática,$39.900.000,2015,72.000
Ford Fiesta 1.6 Sportback Automática,$32.990.000,2012,110.810
Ford Fiesta 1.6 Sportback Automática,$29.900.000,2012,130.000
Ford Fiesta SE MECANICO 1.6,$32.990.000,2014,134.000
Ford Fiesta 1.6 Sportback Automática,$37.000.000,2013,158.685
Ford Fiesta 1.6 Sportback Se Mecánica,$34.900.000,2014,132.000
Ford Fiesta 1.6 Sportback Se Mecánica,$30.000.000,2014,133.125
Ford Fiesta 1.6 Hatchback Se,$42.500.000,2014,41.500
Ford Fiesta se mecánico sedan,$39.900.000,2015,72.000
Ford Fiesta 1.6 Hatchback Titanium,$37.990.000,2014,98.000
Ford Fiesta 1.6 Titanium Mt,$44.500.000,2016,79.500
Ford Fiesta 1.6 Sportback Titanium,$51.900.000,2018,78.000
Ford Fiesta 1.6 Hatchback Se,$38.900.000,2014,72.000
Ford Fiesta 1.6 Sportback Se Automática,$34.900.000,2014,77.800
Ford Fiesta 1.6 Hatchback Se,$37.499.999,2017,87.000
Ford Fiesta 1.6 Hatchback Se,$34.000.000,2014,114.000
Ford Fiesta 1.6 Titanium Mt,$49.990.000,2018,45.000
Ford Fiesta 1.6 Titanium At,$38.000.000,2014,125.000
Ford Fiesta 1.6 Sportback Titanium,$46.800.000,2016,31.000
Ford Fiesta 1.6 Sportback Titanium,$47.500.000,2017,69.000
Ford Fiesta 1.3,$13.500.000,1997,180.000
Ford Fiesta 1.6 Hatchback Mecánica,$29.900.000,2012,122.000
Ford Fiesta 2018 Se,$47.000.000,2018,38.000
Ford Fiesta 1.6 Hatchback Se,$38.900.000,2016,74.000
Ford Fiesta 1.6 Sportback Automática,$26.900.000,2012,141.000
Ford Fiesta 1.6 Sportback Se Mecánica,$38.900.000,2014,52.000
Ford Fiesta 1.6 Sportback Mecánica,$33.500.000,2013,80.000
Ford Fiesta 1.6 Sportback Titanium,$32.490.000,2015,151.000
Ford Fiesta 1.6 Sportback Se Automática,$38.000.000,2015,108.000
Ford Fiesta 1.6 Hatchback Se,$40.950.000,2016,111.261
Ford Fiesta 1.6 Hatchback,$37.990.000,2014,74.114
Ford Fiesta 1.6 Titanium At,$40.000.000,2014,86.179
Ford Fiesta 1.6 Hatchback Mecánica,$31.990.000,2013,102.200
Ford Fiesta 1.6 Sportback Titanium,$55.900.000,2019,52.000
Ford Fiesta Se Hb 2018 Mt,$39.990.000,2018,100.000
Ford Fiesta 1.6 Titanium Mt,$41.500.000,2016,77.000
Ford Fiesta 1.6 Hatchback Mecánica,$32.900.000,2012,128.900
Ford Fiesta 1.6 Sportback Se Mecánica,$34.000.000,2014,107.000
Ford Fiesta 1.6 Hatchback Mecánica,$30.000.000,2012,135.000
Ford Fiesta 1.6 Sportback Mecánica,$33.900.000,2013,54.000
